2024-05-23,16:26:03; 520lux
2024-05-23,16:26:07; 521lux
2024-05-23,16:26:11; 521lux
2024-05-23,16:26:15; 15757lux
2024-05-23,16:26:19; 24315lux
2024-05-23,16:26:23; 20497lux
2024-05-23,16:26:27; 517lux
2024-05-23,16:26:31; 519lux
2024-05-23,16:26:35; 519lux
2024-05-23,16:26:39; 1484lux
2024-05-23,16:26:43; 25173lux
2024-05-23,16:26:47; 28050lux
2024-05-23,16:26:51; 29983lux
2024-05-23,16:26:55; 517lux
2024-05-23,16:26:59; 517lux
2024-05-23,16:27:03; 517lux
2024-05-23,16:27:07; 1016lux
2024-05-23,16:27:11; 23913lux
2024-05-23,16:27:15; 25346lux
2024-05-23,16:27:19; 12452lux
