2024-05-23,16:28:25; 9.80°„C
2024-05-23,16:28:27; 9.80°„C
2024-05-23,16:28:29; 9.80°„C
2024-05-23,16:28:31; 9.80°„C
2024-05-23,16:28:34; 9.80°„C
2024-05-23,16:28:36; 9.81°„C
2024-05-23,16:28:38; 9.83°„C
2024-05-23,16:28:40; 9.85°„C
2024-05-23,16:28:42; 9.87°„C
2024-05-23,16:28:44; 9.90°„C
2024-05-23,16:28:46; 9.93°„C
2024-05-23,16:28:48; 9.95°„C
2024-05-23,16:28:50; 9.98°„C
2024-05-23,16:28:52; 10.00°„C
2024-05-23,16:28:54; 10.03°„C
2024-05-23,16:28:57; 10.05°„C
2024-05-23,16:28:59; 10.06°„C
2024-05-23,16:29:01; 10.08°„C
2024-05-23,16:29:03; 10.09°„C
2024-05-23,16:29:05; 10.10°„C
2024-05-23,16:29:07; 10.10°„C
2024-05-23,16:29:09; 10.11°„C
2024-05-23,16:29:11; 10.10°„C
2024-05-23,16:29:13; 10.10°„C
2024-05-23,16:29:15; 10.09°„C
2024-05-23,16:29:17; 10.09°„C
2024-05-23,16:29:20; 10.09°„C
2024-05-23,16:29:22; 10.08°„C
2024-05-23,16:29:24; 10.08°„C
2024-05-23,16:29:26; 10.07°„C
2024-05-23,16:29:28; 10.06°„C
2024-05-23,16:29:30; 10.05°„C
2024-05-23,16:29:32; 10.05°„C
2024-05-23,16:29:34; 10.04°„C
2024-05-23,16:29:36; 10.03°„C
2024-05-23,16:29:38; 10.03°„C
2024-05-23,16:29:40; 10.02°„C
2024-05-23,16:29:43; 10.02°„C
2024-05-23,16:29:45; 10.01°„C
2024-05-23,16:29:47; 10.00°„C
2024-05-23,16:29:49; 10.00°„C
2024-05-23,16:29:51; 9.99°„C
2024-05-23,16:29:53; 9.99°„C
2024-05-23,16:29:55; 9.98°„C
2024-05-23,16:29:57; 9.98°„C
2024-05-23,16:29:59; 9.98°„C
2024-05-23,16:30:01; 9.97°„C
2024-05-23,16:30:03; 9.97°„C
